,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
487,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,244,12,67,117,75,6,219,3,4,75.0,3,0,188,964,599,177,171,96.6,0,4,Matches
488,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,6.8,458,32,139,244,116,13,375,18,21,85.7,18,1,276,1912,1111,248,233,94.0,5,9,Matches
489,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,32.6,2453,101,716,1124,743,45,2083,57,89,64.0,58,2,1474,7793,4645,1500,1390,92.7,26,38,Matches
490,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,21,0,5,19,1,0,19,1,1,100.0,1,0,12,112,74,12,12,100.0,0,0,Matches
491,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,25.5,1478,116,502,720,322,9,1214,13,19,68.4,14,2,721,3492,1908,758,705,93.0,12,19,Matches
492,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,37.0,2296,123,436,1190,747,50,1933,15,21,71.4,16,1,1047,3992,1589,1287,1122,87.2,24,15,Matches
493,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,28.6,2126,339,1246,925,128,30,2051,12,14,85.7,12,0,1331,9348,5896,1404,1379,98.2,8,14,Matches
494,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,8.1,251,4,31,108,131,36,246,9,19,47.4,9,0,182,1266,615,321,180,56.1,20,18,Matches
495,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,34.0,1994,63,312,1224,526,18,1803,10,23,43.5,11,1,1160,4482,1974,1314,1207,91.9,16,15,Matches
496,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,62,0,5,28,31,7,60,2,3,66.7,2,0,29,157,56,79,46,58.2,4,4,Matches
497,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,30.9,1783,40,270,1095,535,77,1759,46,71,64.8,47,5,1401,7620,3399,1517,1329,87.6,35,41,Matches
498,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,755,61,262,301,223,22,627,30,39,76.9,30,0,408,2043,1313,407,346,85.0,9,7,Matches
