,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
2285,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,eng Premier League,19,2000,3.8,5,0,2,3,0,2,5,40.0,3,51,11,21.6,21,19,11,4,0,0,4,1,6,15,0,Matches
2286,Salva Sevilla\Salva-Sevilla,es ESP,MF,Mallorca,es La Liga,35,1984,28.5,31,20,13,14,4,14,39,35.9,25,346,92,26.6,129,181,36,25,6,1,19,29,60,23,1,Matches
2287,Yevhen Shakhov\Yevhen-Shakhov,ua UKR,MFFW,Lecce,it Serie A,28,1990,11.7,32,23,15,13,4,7,23,30.4,16,271,67,24.7,74,132,65,14,3,0,11,11,43,10,1,Matches
2288,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,eng Premier League,27,1991,2.1,1,0,0,1,0,0,0,,0,39,12,30.8,11,13,15,1,0,0,1,0,1,0,0,Matches
2289,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,eng Premier League,33,1986,11.7,9,5,3,2,4,1,4,25.0,3,217,55,25.3,16,91,110,4,0,0,4,1,10,1,0,Matches
2290,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,eng Premier League,24,1995,19.3,34,24,18,10,6,15,35,42.9,20,274,78,28.5,120,118,36,53,7,0,46,22,56,58,0,Matches
2291,Khiry Shelton\Khiry-Shelton,us USA,FWMF,Paderborn 07,de Bundesliga,26,1993,0.4,0,0,0,0,0,0,0,,0,12,5,41.7,1,5,6,0,0,0,0,0,0,0,0,Matches
2292,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,27,1992,23.5,30,16,15,14,1,8,41,19.5,33,392,88,22.4,173,189,30,26,5,0,21,22,52,54,0,Matches
2293,Gen Shoji\Gen-Shoji,jp JPN,DF,Toulouse,fr Ligue 1,26,1992,0.5,1,1,1,0,0,1,1,100.0,0,1,1,100.0,1,0,0,0,0,0,0,0,1,2,0,Matches
2294,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,eng Premier League,27,1992,20.3,85,40,48,21,16,34,72,47.2,38,391,113,28.9,199,130,62,37,3,0,34,41,126,49,0,Matches
2295,Kalidou Sidibé\Kalidou-Sidibe,fr FRA,MF,Toulouse,fr Ligue 1,20,1999,1.0,3,2,0,3,0,1,2,50.0,1,14,2,14.3,6,6,2,0,0,0,0,1,4,0,0,Matches
2296,Sidnei\Sidnei,br BRA,DF,Betis,es La Liga,29,1989,13.1,20,13,16,4,0,5,9,55.6,4,128,53,41.4,77,48,3,23,12,0,11,23,43,72,0,Matches
2297,Theoson Siebatcheu\Theoson-Siebatcheu,fr FRA,FW,Rennes,fr Ligue 1,23,1996,4.9,6,5,1,3,2,1,2,50.0,1,105,23,21.9,12,53,40,6,1,0,5,1,7,3,0,Matches
2298,Kaj Sierhuis\Kaj-Sierhuis,nl NED,FW,Reims,fr Ligue 1,21,1998,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0,Matches
2299,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,eng Premier League,29,1989,28.4,60,45,15,31,14,24,88,27.3,64,654,166,25.4,160,348,146,50,5,0,45,36,96,16,1,Matches
2300,Luca Siligardi\Luca-Siligardi,it ITA,FWMF,Parma,it Serie A,31,1988,3.3,6,3,3,2,1,5,7,71.4,2,57,16,28.1,15,28,14,6,0,0,6,3,9,1,0,Matches
2301,Adrien Silva\Adrien-Silva,pt POR,MF,Monaco,fr Ligue 1,30,1989,13.6,38,28,16,18,4,8,43,18.6,35,349,116,33.2,100,209,40,26,8,0,18,12,50,17,2,Matches
2302,André Silva\Andre-Silva,pt POR,FW,Milan,it Serie A,23,1995,0.7,3,1,0,1,2,0,1,0.0,1,15,2,13.3,0,3,12,0,0,0,0,0,3,0,0,Matches
2303,André Silva\Andre-Silva,pt POR,FW,Eint Frankfurt,de Bundesliga,23,1995,17.5,7,4,0,4,3,1,8,12.5,7,270,98,36.3,14,101,155,17,0,0,17,7,14,4,0,Matches
2304,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,eng Premier League,24,1994,22.6,39,26,15,14,10,15,49,30.6,34,408,124,30.4,63,179,166,36,1,0,35,26,65,11,0,Matches
2305,David Silva\David-Silva,es ESP,MF,Manchester City,eng Premier League,33,1986,20.3,26,16,3,14,9,10,26,38.5,16,302,96,31.8,32,150,120,21,4,0,17,12,38,7,1,Matches
2306,Gabriel Silva\Gabriel-Silva,br BRA,DF,Saint-Étienne,fr Ligue 1,28,1991,2.6,5,2,2,2,1,3,4,75.0,1,32,6,18.8,13,17,2,8,0,0,8,4,9,8,0,Matches
2307,Jonathan Silva\Jonathan-Silva,ar ARG,DF,Leganés,es La Liga,25,1994,30.9,53,19,29,18,6,21,51,41.2,30,405,105,25.9,169,170,66,29,4,0,25,36,89,86,0,Matches
2308,Matheus Pereira da Silva\Matheus-Pereira-da-Silva,br BRA,MFFW,Dijon,fr Ligue 1,21,1998,5.2,12,4,1,5,6,5,13,38.5,8,130,35,26.9,24,65,41,13,0,0,13,6,18,5,0,Matches
2309,Rui Silva\Rui-Silva,pt POR,GK,Granada,es La Liga,25,1994,35.0,0,0,0,0,0,0,0,,0,3,1,33.3,3,0,0,0,0,0,0,3,3,4,1,Matches
2310,Thiago Silva\Thiago-Silva,br BRA,DF,Paris S-G,fr Ligue 1,34,1984,17.5,33,21,18,14,1,13,19,68.4,6,91,41,45.1,46,40,5,27,17,0,10,25,58,71,2,Matches
2311,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,it Serie A,28,1991,35.0,0,0,0,0,0,0,2,0.0,2,4,0,0.0,4,0,0,0,0,0,0,4,4,0,1,Matches
2312,Mohamed Simakan\Mohamed-Simakan,fr FRA,DF,Strasbourg,fr Ligue 1,19,2000,16.7,58,28,35,19,4,19,36,52.8,17,283,94,33.2,159,104,20,30,6,0,24,31,89,55,0,Matches
2313,Giovanni Simeone\Giovanni-Simeone,ar ARG,FW,Cagliari,it Serie A,24,1995,31.5,29,11,8,12,9,5,28,17.9,23,473,126,26.6,54,208,211,35,11,0,24,12,41,12,0,Matches
2314,Moses Simon\Moses-Simon,ng NGA,FWMF,Nantes,fr Ligue 1,24,1995,24.2,14,10,4,3,7,7,22,31.8,15,318,72,22.6,39,171,108,17,0,0,17,7,21,10,0,Matches
2315,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,es La Liga,22,1997,33.2,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,1,0,0,1,1,1,1,1,Matches
2316,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,eng Premier League,22,1997,2.7,5,2,5,0,0,2,6,33.3,4,32,4,12.5,17,13,2,2,0,0,2,2,7,13,1,Matches
2317,Sarpreet Singh\Sarpreet-Singh,nz NZL,FWMF,Bayern Munich,de Bundesliga,20,1999,0.8,1,0,0,1,0,0,1,0.0,1,17,5,29.4,2,8,7,0,0,0,0,0,1,0,0,Matches
2318,Wilfried Singo\Wilfried-Singo,ci CIV,DF,Torino,it Serie A,18,2000,1.5,1,0,0,1,0,1,2,50.0,1,4,1,25.0,1,3,0,0,0,0,0,0,1,2,0,Matches
2319,Daley Sinkgraven\Daley-Sinkgraven,nl NED,DF,Leverkusen,de Bundesliga,24,1995,10.1,24,16,12,9,3,9,25,36.0,16,135,51,37.8,57,53,25,15,3,0,12,9,33,24,0,Matches
2320,Dimitris Siovas\Dimitris-Siovas,gr GRE,DF,Leganés,es La Liga,30,1988,21.3,40,25,24,14,2,13,29,44.8,16,194,74,38.1,114,68,12,31,3,0,28,48,88,129,0,Matches
2321,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,32,1987,36.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,2,2,1,0,Matches
2322,Ibrahima Sissoko\Ibrahima-Sissoko,fr FRA,MF,Strasbourg,fr Ligue 1,21,1997,17.8,50,35,20,22,8,12,50,24.0,38,392,111,28.3,135,193,64,22,5,0,17,19,69,35,0,Matches
2323,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,eng Premier League,29,1989,27.2,56,35,36,19,1,20,50,40.0,30,437,126,28.8,219,167,51,38,5,0,33,31,87,48,0,Matches
2324,Sambou Sissoko\Sambou-Sissoko,fr FRA,MFFW,Reims,fr Ligue 1,20,1999,0.4,0,0,0,0,0,0,0,,0,12,3,25.0,7,4,1,0,0,0,0,1,1,3,0,Matches
2325,Pione Sisto\Pione-Sisto,dk DEN,FWMF,Celta Vigo,es La Liga,24,1995,9.9,18,10,8,8,2,5,18,27.8,13,161,51,31.7,49,72,40,18,0,0,18,5,23,5,0,Matches
2326,Antonio Sivera\Antonio-Sivera,es ESP,GK,Alavés,es La Liga,22,1996,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2327,Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Köln,de Bundesliga,24,1995,29.7,73,49,35,31,7,22,75,29.3,53,712,220,30.9,240,388,84,73,10,0,63,65,138,53,0,Matches
2328,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,eng Premier League,18,2000,0.9,3,2,1,2,0,1,2,50.0,1,31,6,19.4,14,14,3,3,1,0,2,0,3,0,0,Matches
2329,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,28,1991,36.0,1,0,1,0,0,0,0,,0,4,1,25.0,4,0,0,0,0,0,0,3,4,1,3,Matches
2330,Andreas Skov Olsen\Andreas-Skov-Olsen,dk DEN,FWMF,Bologna,it Serie A,19,1999,8.3,13,7,6,6,1,5,16,31.3,11,212,47,22.2,49,95,68,14,1,0,13,8,21,12,0,Matches
2331,Robert Skov\Robert-Skov,dk DEN,DFFW,Hoffenheim,de Bundesliga,23,1996,29.0,47,30,34,11,2,26,55,47.3,29,291,93,32.0,101,118,72,45,7,2,38,20,67,41,1,Matches
2332,Simon Skrabb\Simon-Skrabb,fi FIN,MFFW,Brescia,it Serie A,24,1995,2.9,7,4,2,3,2,4,10,40.0,6,72,18,25.0,17,29,26,8,1,0,7,0,7,2,0,Matches
2333,Milan Škriniar\Milan-Skriniar,sk SVK,DF,Inter,it Serie A,24,1995,29.0,46,28,27,17,2,15,37,40.5,22,288,81,28.1,153,113,22,31,12,1,19,27,73,94,0,Matches
2334,Steven Skrzybski\Steven-Skrzybski,de GER,FWMF,Düsseldorf,de Bundesliga,26,1992,5.9,6,3,0,5,1,3,16,18.8,13,167,55,32.9,30,82,55,13,2,0,11,11,17,3,0,Matches
2335,Petar Škuletić\Petar-Skuletic,rs SRB,FW,Montpellier,fr Ligue 1,29,1990,1.2,3,0,1,1,1,1,3,33.3,2,20,4,20.0,0,13,7,1,0,0,1,0,3,1,0,Matches
2336,Islam Slimani\Islam-Slimani,dz ALG,FW,Monaco,fr Ligue 1,31,1988,14.3,10,7,0,4,6,3,13,23.1,10,208,54,26.0,7,84,117,7,1,0,6,0,10,8,0,Matches
2337,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,eng Premier League,19,2000,4.4,12,8,3,8,1,4,12,33.3,8,72,27,37.5,13,30,29,10,1,0,9,2,14,3,0,Matches
2338,Chris Smalling\Chris-Smalling,eng ENG,DF,Roma,it Serie A,29,1989,27.5,31,21,19,11,1,9,12,75.0,3,173,56,32.4,96,67,10,55,36,2,19,59,90,158,3,Matches
2339,Dennis Smarsch\Dennis-Smarsch,de GER,GK,Hertha BSC,de Bundesliga,20,1999,1.7,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2340,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,eng Premier League,28,1991,22.8,52,30,32,15,5,24,54,44.4,30,407,110,27.0,182,155,70,56,6,1,50,25,77,52,0,Matches
2341,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,eng Premier League,19,2000,1.1,1,1,1,0,0,1,3,33.3,2,22,7,31.8,6,10,6,1,0,0,1,1,2,3,0,Matches
2342,Fyodor Smolov\Fyodor-Smolov,ru RUS,FW,Celta Vigo,es La Liga,29,1990,8.3,2,1,0,2,0,1,9,11.1,8,139,32,23.0,17,60,62,10,0,0,10,6,8,6,0,Matches
2343,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,eng Premier League,31,1987,16.8,27,10,17,9,1,10,40,25.0,30,367,90,24.5,118,185,64,21,2,0,19,5,32,16,0,Matches
2344,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,eng Premier League,27,1991,2.8,6,5,2,4,0,2,5,40.0,3,55,15,27.3,23,26,6,10,0,0,10,3,9,2,0,Matches
2345,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,eng Premier League,27,1991,14.5,46,24,22,21,3,18,38,47.4,20,298,92,30.9,144,114,40,37,4,0,33,18,64,59,0,Matches
2346,Rafa Soares\Rafa-Soares,pt POR,DFMF,Eibar,es La Liga,24,1995,4.8,5,2,4,0,1,1,11,9.1,10,55,16,29.1,19,24,12,7,0,0,7,2,7,11,0,Matches
2347,Lasse Sobiech\Lasse-Sobiech,de GER,DF,Köln,de Bundesliga,28,1991,1.0,1,0,0,1,0,0,0,,0,15,5,33.3,8,7,0,1,0,0,1,4,5,11,0,Matches
2348,Marcel Sobottka\Marcel-Sobottka,de GER,MF,Düsseldorf,de Bundesliga,25,1994,7.8,17,12,5,9,3,3,13,23.1,10,144,34,23.6,55,75,14,4,1,0,3,10,27,11,0,Matches
2349,Rubén Sobrino\Ruben-Sobrino,es ESP,FWMF,Valencia,es La Liga,27,1992,1.9,6,4,2,3,1,1,4,25.0,3,60,14,23.3,17,28,15,3,0,0,3,0,6,1,0,Matches
2350,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,eng Premier League,21,1997,18.3,11,10,2,9,0,3,27,11.1,24,644,151,23.4,84,319,241,19,5,0,14,8,19,21,0,Matches
2351,Roberto Soldado\Roberto-Soldado,es ESP,FW,Granada,es La Liga,34,1985,26.1,16,7,2,7,7,4,18,22.2,14,366,98,26.8,21,157,188,16,5,0,11,4,20,17,0,Matches
2352,Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,es La Liga,22,1997,23.0,28,17,9,16,3,10,40,25.0,30,432,112,25.9,131,198,103,30,5,0,25,12,40,17,0,Matches
2353,Oumar Solet\Oumar-Solet,fr FRA,DF,Lyon,fr Ligue 1,19,2000,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,1,0,0,0,0,1,0,Matches
2354,Yann Sommer\Yann-Sommer,ch SUI,GK,M'gladbach,de Bundesliga,30,1988,34.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,1,1,1,3,Matches
2355,Kévin Soni\Kevin-Soni,cm CMR,FW,Espanyol,es La Liga,21,1998,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2356,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,26,1993,38.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,3,3,5,0,Matches
2357,Bruno Soriano\Bruno-Soriano,es ESP,MF,Villarreal,es La Liga,35,1984,2.9,5,4,1,3,1,2,2,100.0,0,40,10,25.0,20,17,3,7,0,0,7,1,6,6,0,Matches
2358,Juan Soriano\Juan-Soriano,es ESP,GK,Leganés,es La Liga,21,1997,11.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
2359,Roberto Soriano\Roberto-Soriano,it ITA,MF,Bologna,it Serie A,28,1991,26.4,49,35,14,27,8,17,52,32.7,35,431,130,30.2,90,223,118,31,2,0,29,16,65,18,1,Matches
2360,Riccardo Sottil\Riccardo-Sottil,it ITA,FWDF,Fiorentina,it Serie A,20,1999,5.4,5,3,4,1,0,3,11,27.3,8,72,12,16.7,21,29,22,9,1,0,8,0,5,0,0,Matches
2361,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,eng Premier League,24,1995,11.6,35,25,15,17,3,5,19,26.3,14,240,77,32.1,96,102,42,16,3,0,13,22,57,38,0,Matches
2362,Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Genoa,it Serie A,27,1992,7.1,6,5,4,2,0,2,3,66.7,1,48,17,35.4,33,15,0,13,9,0,4,8,14,45,0,Matches
2363,Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Lille,fr Ligue 1,27,1992,4.6,3,2,1,2,0,0,0,,0,32,10,31.3,19,12,1,10,6,0,4,5,8,24,0,Matches
2364,Boubakary Soumaré\Boubakary-Soumare,fr FRA,MF,Lille,fr Ligue 1,20,1999,13.5,22,17,8,14,0,10,28,35.7,18,233,72,30.9,76,138,19,17,0,0,17,16,38,10,0,Matches
2365,Bryan Soumaré\Bryan-Soumare,fr FRA,MFFW,Dijon,fr Ligue 1,20,1999,4.3,10,7,5,5,0,6,11,54.5,5,77,25,32.5,19,39,19,2,0,0,2,2,12,1,0,Matches
2366,Arnaud Souquet\Arnaud-Souquet,fr FRA,DF,Montpellier,fr Ligue 1,27,1992,22.4,57,28,39,12,6,28,74,37.8,46,433,111,25.6,185,172,76,43,6,1,37,19,76,63,0,Matches
2367,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,22,1997,19.4,62,39,27,25,10,13,50,26.0,37,497,154,31.0,166,251,80,26,3,1,23,31,93,31,0,Matches
2368,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,eng Premier League,23,1996,33.7,73,47,49,23,1,29,55,52.7,26,298,119,39.9,188,102,8,49,19,2,30,43,116,222,1,Matches
2369,Nikolas Špalek\Nikolas-Spalek,sk SVK,MFFW,Brescia,it Serie A,22,1997,16.9,19,13,4,11,4,5,32,15.6,27,472,106,22.5,102,231,139,21,0,0,21,8,27,9,0,Matches
2370,Leonardo Spinazzola\Leonardo-Spinazzola,it ITA,DF,Roma,it Serie A,26,1993,17.2,18,10,9,7,2,11,27,40.7,16,200,61,30.5,87,70,43,34,5,0,29,21,39,43,1,Matches
2371,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,27,1992,4.9,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2372,Mattia Sprocati\Mattia-Sprocati,it ITA,FW,Parma,it Serie A,26,1992,6.6,4,3,4,0,0,0,4,0.0,4,92,31,33.7,33,40,19,10,1,0,9,1,5,2,0,Matches
2373,Bassem Srarfi\Bassem-Srarfi,tn TUN,FWDF,Nice,fr Ligue 1,22,1997,1.5,0,0,0,0,0,0,2,0.0,2,23,2,8.7,4,9,10,1,0,0,1,2,2,0,0,Matches
2374,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,eng Premier League,25,1994,0.5,5,4,3,2,0,1,3,33.3,2,20,9,45.0,4,9,7,0,0,0,0,0,5,1,0,Matches
2375,Dennis Srbeny\Dennis-Srbeny,de GER,FWMF,Paderborn 07,de Bundesliga,25,1994,12.4,14,10,3,8,3,4,14,28.6,10,305,81,26.6,29,134,142,14,2,0,12,2,16,8,0,Matches
2376,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,de Bundesliga,22,1996,23.5,53,36,35,17,1,14,36,38.9,22,342,124,36.3,197,130,15,49,18,0,31,56,109,130,2,Matches
2377,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,eng Premier League,23,1996,17.2,21,13,13,5,3,5,21,23.8,16,241,62,25.7,116,80,45,41,9,0,32,21,42,53,1,Matches
2378,Kostas Stafylidis\Kostas-Stafylidis,gr GRE,DF,Hoffenheim,de Bundesliga,25,1993,4.4,7,0,5,2,0,3,4,75.0,1,41,7,17.1,25,14,2,15,2,0,13,2,9,11,0,Matches
2379,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,DF,Schalke 04,de Bundesliga,28,1990,9.0,28,21,13,12,3,9,24,37.5,15,131,49,37.4,72,54,5,20,8,0,12,12,40,45,0,Matches
2380,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,eng Premier League,29,1989,7.9,10,6,2,2,6,3,8,37.5,5,106,34,32.1,31,41,34,9,0,0,9,5,15,2,0,Matches
2381,Niklas Stark\Niklas-Stark,de GER,DF,Hertha BSC,de Bundesliga,24,1995,19.2,39,24,29,9,1,11,28,39.3,17,272,73,26.8,141,123,8,34,12,0,22,23,62,136,1,Matches
2382,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,eng Premier League,26,1992,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
2383,Renato Steffen\Renato-Steffen,ch SUI,MFFW,Wolfsburg,de Bundesliga,27,1991,17.6,27,17,9,12,6,8,38,21.1,30,397,121,30.5,94,188,115,32,2,0,30,23,50,17,0,Matches
2384,Zack Steffen\Zack-Steffen,us USA,GK,Düsseldorf,de Bundesliga,24,1995,17.0,0,0,0,0,0,0,0,,0,4,0,0.0,4,0,0,0,0,0,0,0,0,3,1,Matches
2385,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,eng Premier League,30,1989,28.1,76,40,32,35,9,21,71,29.6,50,465,150,32.3,206,224,35,43,13,1,30,58,134,46,3,Matches
2386,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,eng Premier League,25,1994,27.2,56,35,41,14,1,21,49,42.9,28,223,78,35.0,145,70,8,60,26,0,34,30,86,183,2,Matches
2387,Mariusz Stępiński\Mariusz-Stepinski,pl POL,FW,Hellas Verona,it Serie A,24,1995,7.8,6,4,1,3,2,0,2,0.0,2,138,38,27.5,12,56,70,6,1,0,5,1,7,8,0,Matches
2388,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,eng Premier League,24,1994,29.5,41,29,8,19,14,10,33,30.3,23,412,132,32.0,67,177,168,25,3,0,22,14,55,8,0,Matches
2389,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,eng Premier League,29,1990,37.2,76,43,43,25,8,24,74,32.4,50,609,162,26.6,277,225,107,76,6,0,70,36,112,89,2,Matches
2390,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,eng Premier League,28,1991,13.1,18,7,9,7,2,6,22,27.3,16,257,53,20.6,47,132,78,15,4,0,11,5,23,16,0,Matches
2391,Lars Stindl\Lars-Stindl,de GER,MFFW,M'gladbach,de Bundesliga,30,1988,15.9,37,25,6,24,7,9,33,27.3,24,378,108,28.6,35,204,139,25,4,0,21,9,46,6,0,Matches
2392,Kevin Stöger\Kevin-Stoger,at AUT,MF,Düsseldorf,de Bundesliga,25,1993,14.1,26,20,13,8,5,12,37,32.4,25,263,87,33.1,78,134,51,31,2,0,29,22,48,7,0,Matches
2393,Vlatko Stojanovski\Vlatko-Stojanovski,mk MKD,FW,Nîmes,fr Ligue 1,22,1997,1.4,2,2,0,2,0,0,0,,0,19,7,36.8,4,2,13,0,0,0,0,0,2,1,0,Matches
2394,John Stones\John-Stones,eng ENG,DF,Manchester City,eng Premier League,25,1994,12.5,19,12,10,7,2,4,8,50.0,4,90,39,43.3,47,38,5,15,3,0,12,8,27,38,1,Matches
2395,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,24,1995,37.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,4,0,0,1,1,0,0,0,0,1,2,Matches
2396,Tobias Strobl\Tobias-Strobl,de GER,MFDF,M'gladbach,de Bundesliga,29,1990,6.8,18,14,9,5,4,4,11,36.4,7,124,39,31.5,52,61,11,10,4,0,6,9,27,6,2,Matches
2397,Christian Strohdiek\Christian-Strohdiek,de GER,DF,Paderborn 07,de Bundesliga,31,1988,15.1,28,15,21,7,0,15,41,36.6,26,135,36,26.7,96,37,2,30,11,0,19,27,55,119,1,Matches
2398,Kevin Strootman\Kevin-Strootman,nl NED,MF,Marseille,fr Ligue 1,29,1990,15.7,45,27,16,21,8,18,50,36.0,32,294,88,29.9,85,168,41,31,3,0,28,17,62,35,0,Matches
2399,Jens Stryger Larsen\Jens-Stryger-Larsen,dk DEN,DF,Udinese,it Serie A,28,1991,30.0,38,22,24,11,3,18,34,52.9,16,335,85,25.4,160,113,62,35,6,0,29,20,58,49,0,Matches
2400,Stefano Sturaro\Stefano-Sturaro,it ITA,MF,Genoa,it Serie A,26,1993,13.9,35,26,11,17,7,9,38,23.7,29,285,86,30.2,104,133,48,27,4,0,23,10,45,30,0,Matches
2401,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,es La Liga,31,1988,28.8,69,49,33,28,8,36,78,46.2,42,493,154,31.2,203,221,69,45,1,0,44,27,96,82,0,Matches
2402,Denis Suárez\Denis-Suarez,es ESP,MFFW,Celta Vigo,es La Liga,25,1994,18.1,25,16,14,10,1,9,35,25.7,26,314,77,24.5,107,155,52,19,0,0,19,15,40,7,0,Matches
2403,Luis Suárez\Luis-Suarez,uy URU,FW,Barcelona,es La Liga,32,1987,22.2,3,2,0,2,1,0,8,0.0,8,191,49,25.7,9,87,95,13,1,0,12,1,4,6,0,Matches
2404,Mathías Suárez\Mathias-Suarez,uy URU,DF,Montpellier,fr Ligue 1,23,1996,0.7,2,2,2,0,0,2,3,66.7,1,11,2,18.2,5,5,1,2,0,0,2,1,3,2,0,Matches
2405,Neven Subotić\Neven-Subotic,rs SRB,DF,Union Berlin,de Bundesliga,30,1988,21.8,39,22,22,14,3,6,35,17.1,29,250,93,37.2,137,100,13,35,9,0,26,37,76,141,0,Matches
2406,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,eng Premier League,23,1996,0.8,0,0,0,0,0,0,0,,0,14,2,14.3,0,3,11,0,0,0,0,1,1,0,0,Matches
2407,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,de Bundesliga,31,1988,4.4,8,4,7,1,0,4,6,66.7,2,18,8,44.4,13,5,0,3,2,0,1,8,16,22,0,Matches
2408,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,de Bundesliga,23,1995,7.1,9,4,7,2,0,3,5,60.0,2,45,16,35.6,29,15,1,13,8,0,5,6,15,31,0,Matches
2409,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Mallorca,es La Liga,30,1989,0.1,0,0,0,0,0,0,0,,0,4,1,25.0,2,2,0,1,0,0,1,0,0,0,0,Matches
2410,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,eng Premier League,30,1989,1.5,1,1,1,0,0,0,2,0.0,2,39,4,10.3,21,15,3,1,0,0,1,2,3,3,0,Matches
2411,Stoppila Sunzu\Stoppila-Sunzu,zm ZAM,DF,Metz,fr Ligue 1,30,1989,15.0,21,12,17,4,0,6,16,37.5,10,122,33,27.0,89,32,1,27,15,0,12,23,44,91,0,Matches
2412,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,eng Premier League,32,1986,2.6,5,2,2,3,0,3,4,75.0,1,45,11,24.4,19,20,6,4,0,0,4,1,6,6,0,Matches
