,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,32,2.13,24,2,1,3,2,4,0.27,2,0,0,1,1,0,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,26.0,6,0.23,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,24,0.83,20,0,2,0,2,3,0.10,3,0,0,0,0,0,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,29.5,46,1.56,33,6,2,1,4,2,0.07,1,0,1,0,0,0,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,2,0.61,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,4,2.86,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,13.1,7,0.54,6,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,3,0.97,3,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,14.9,15,1.01,14,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,21.8,23,1.06,16,0,2,3,2,0,0.00,0,0,0,0,0,0,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,5.8,18,3.09,9,0,1,4,4,2,0.34,0,0,0,1,1,0,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,25.2,10,0.40,6,0,0,4,0,0,0.00,0,0,0,0,0,0,Matches
