,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
211,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,eng Premier League,31,1988,36.0,25,0.69,22,0,2,0,1,2,0.06,2,0,0,0,0,0,Matches
212,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,22,1996,11.0,33,3.00,19,12,2,0,0,4,0.36,1,3,0,0,0,0,Matches
213,Thomas Basila\Thomas-Basila,fr FRA,DF,Nantes,fr Ligue 1,20,1999,4.6,1,0.22,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
214,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,DFMF,Granada,es La Liga,22,1996,4.0,12,3.03,9,1,1,1,0,2,0.51,2,0,0,0,0,0,Matches
215,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,DFMF,Monaco,fr Ligue 1,22,1996,11.7,30,2.55,18,2,3,5,2,2,0.17,0,0,0,1,1,0,Matches
216,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,eng Premier League,26,1992,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
217,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,20,1999,20.5,28,1.44,26,1,1,0,0,2,0.10,2,0,0,0,0,0,Matches
218,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,28,1991,8.2,6,0.74,2,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches
219,Oliver Batista-Meier\Oliver-Batista-Meier,de GER,FW,Bayern Munich,de Bundesliga,18,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
220,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,eng Premier League,25,1993,2.7,7,2.64,5,0,1,1,0,3,1.13,2,0,0,1,0,0,Matches
221,Cristian Battocchio\Cristian-Battocchio,it ITA,MF,Brest,fr Ligue 1,27,1992,15.5,30,1.94,17,11,0,1,1,3,0.19,1,1,0,0,1,0,Matches
222,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30.0,3,0.10,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
223,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,31,1988,19.9,32,1.61,28,0,0,3,1,4,0.20,4,0,0,0,0,0,Matches
224,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,19,1999,16.6,50,3.01,31,2,5,7,5,4,0.24,1,1,0,2,0,0,Matches
225,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FW,Augsburg,de Bundesliga,22,1996,4.2,7,1.65,4,0,2,0,1,1,0.24,0,0,1,0,0,0,Matches
226,Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hoffenheim,de Bundesliga,25,1994,23.4,57,2.44,40,1,7,3,6,7,0.30,2,1,1,2,1,0,Matches
227,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,Udinese,it Serie A,23,1996,24.6,6,0.25,5,0,0,1,0,1,0.04,0,0,0,1,0,0,Matches
228,Sheraldo Becker\Sheraldo-Becker,nl NED,MFFW,Union Berlin,de Bundesliga,24,1995,6.0,15,2.50,11,0,3,0,1,3,0.50,3,0,0,0,0,0,Matches
229,Timo Becker\Timo-Becker,de GER,DFMF,Schalke 04,de Bundesliga,22,1997,3.7,8,2.14,7,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
230,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,eng Premier League,23,1996,34.0,13,0.38,11,0,0,1,1,1,0.03,0,0,0,1,0,0,Matches
231,Asmir Begović\Asmir-Begovic,ba BIH,GK,Milan,it Serie A,32,1987,1.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
232,Valon Behrami\Valon-Behrami,ch SUI,MF,Genoa,it Serie A,34,1985,11.3,10,0.91,7,0,0,0,3,0,0.00,0,0,0,0,0,0,Matches
233,Maximilian Beier\Maximilian-Beier,de GER,FW,Hoffenheim,de Bundesliga,16,2002,1.2,1,0.83,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
234,Gaëtan Belaud\Gaetan-Belaud,fr FRA,DF,Brest,fr Ligue 1,32,1986,6.4,4,0.62,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
235,Ishak Belfodil\Ishak-Belfodil,dz ALG,FWMF,Hoffenheim,de Bundesliga,27,1992,3.0,11,3.68,8,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
236,Haris Belkebla\Haris-Belkebla,dz ALG,MF,Brest,fr Ligue 1,25,1994,20.2,20,0.99,18,0,0,0,2,2,0.10,2,0,0,0,0,0,Matches
237,Raoul Bellanova\Raoul-Bellanova,it ITA,DF,Bordeaux,fr Ligue 1,19,2000,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
